source,task_id,description,target,priority,status,user_story,p_value,scope_note
ADR 0048,0048-013,Add formatDate() as FEL built-in (validated gap),fel-core/src/stdlib/,high,NOT_DONE,"As a form author, I want to add formatDate() as FEL built-in (validated gap), so that the fel-core is complete.",P0,Merge with M5 (0048-012). Add to same builtins/locale.rs. Implementation delegates to ICU4X.
ADR 0053,0053-017,Emit declarative data-formspec-* DOM annotations on rendered elements,packages/formspec-webcomponent/src/,high,NOT_DONE,"As a spec author, I want to emit declarative data-formspec-* DOM annotations on rendered elements, so that the packages is complete.",P0,Merge with M6 (0053-018). Add toolAnnotations to AdapterContext so ALL adapters benefit. Single injection point in shared.ts createFieldDOM.
ADR 0053,0053-018,Emit toolparamdescription and autocomplete attributes on form elements,packages/formspec-webcomponent/src/,high,NOT_DONE,"As a spec author, I want to emit toolparamdescription and autocomplete attributes on form elements, so that the packages is complete.",P0,Merge with M6 (0053-017). Share AdapterContext injection. toolparamdescription from label+description+ontology.
Plan u1-u4-mcp,PLAN-001,Add add_group action to handlePage in structure.ts routing to project.addWizardPage,packages/formspec-mcp/src/tools/structure.ts:52-79,high,NOT_DONE,"As a spec author, I want to add add_group action to handlePage in structure.ts routing to project.addWizardPage, so that the packages is complete.",P0,"Merge with M3 (PLAN-002, 0031-005). Also need to implement project.addWizardPage() on Project class (currently undefined)."
Plan u1-u4-mcp,PLAN-002,Update formspec_page tool registration in server.ts to add add_group to action enum,packages/formspec-mcp/src/server.ts,high,NOT_DONE,"As a spec author, I want the formspec_page MCP tool implemented (Update formspec_page tool registration in server.ts to add add_group to action enum), so that I can manage this resource through the MCP interface.",P0,Merge with M3 (PLAN-001). Single-line change to action z.enum.
Plan uswds,PLAN-008,Remove manual describedBy string building from default adapter createFieldDOM,packages/formspec-webcomponent/src/adapters/default/shared.ts,high,NOT_DONE,"As a spec author, I want to remove manual describedBy string building from default adapter createFieldDOM, so that the codebase is clean and the responsibility is owned at the correct layer.",P0,"Merge with M4 (PLAN-009). Also add reactive aria-describedby for group containers (radio-group, checkbox-group)."
Plan uswds,PLAN-009,Remove manual describedBy string building from USWDS adapter createUSWDSFieldDOM,packages/formspec-adapters/src/uswds/shared.ts,high,NOT_DONE,"As a spec author, I want to remove manual describedBy string building from USWDS adapter createUSWDSFieldDOM, so that the codebase is clean and the responsibility is owned at the correct layer.",P0,Merge with M4 (PLAN-008). clean removal — initialDescribedBy is dead return value (no consumers).
Spec 2026-03-31 advisories,SPEC-089,Insert spec prose §3.10.3 Definition Advisories with DA-01 DA-02 DA-03,s`pecs/core/spec.md`,high,NOT_DONE,"As a spec author, I want to insert spec prose §3.10.3 Definition Advisories with DA-01 DA-02 DA-03, so that the specification is complete and normative.",P0,Merge with M7 (SPEC-090). Insert §3.10.3 with DA-01/DA-02/DA-03 spec prose + severity table + resolution guidance.
Spec 2026-03-31 advisories,SPEC-090,Retitle spec §3.10 from Error Handling to Error Handling and Static Analysis update preamble,s`pecs/core/spec.md`,high,NOT_DONE,"As a spec author, I want to retitle spec §3.10 from Error Handling to Error Handling and Static Analysis update preamble, so that the specification is complete and normative.",P0,Merge with M7 (SPEC-089). Single line retitle + preamble update.
Spec 2026-03-31 advisories,SPEC-092,Create Rust Pass 8 bind_consistency.rs with W900/W901/W902 detection,cr`ates/formspec-lint/src/bind_consistency.rs`,high,NOT_DONE,"As a spec author, I want to create rust pass 8 bind_consistency.rs with w900/w901/w902 detection, so that the example set is complete.",P0,"Merge with M8 (SPEC-093, SPEC-096, SPEC-097, SPEC-098). Should also scan screener items and shape paths (not just definition items)."
Spec 2026-03-31 advisories,SPEC-093,Integrate Pass 8 into formspec-lint pipeline gated on doc_type Definition,crates/formspec-lint/src/lib.rs,high,NOT_DONE,"As a spec author, I want pass 8 into formspec-lint pipeline gated on doc_type Definition, so that form definitions are validated for this concern.",P0,"Merge with M8. Add call in lib.rs inside the doc_type==Definition block after pass 5, NOT gated by pass 2 errors (advisories are warnings, not halting)."
Spec 2026-03-31 advisories,SPEC-096,Implement Python validator mirror for W900/W901/W902,src/formspec/validate.py,high,NOT_DONE,"As a spec author, I want to implement Python validator mirror for W900/W901/W902, so that the runtime supports this behavior.",P0,"Merge with M8. After Rust Pass 8 lands, verify _lint_pass in validate.py:297 surfaces W9xx via Rust bridge. Add integration test."
Spec 2026-03-31 advisories,SPEC-097,Write tests for each rule positive/skip/dynamic/repeat context,cr`ates/formspec-lint/tests/`,high,NOT_DONE,"As a QA engineer, I want to write tests for each rule positive/skip/dynamic/repeat context, so that this behavior is covered by automated tests.",P0,Merge with M8. Create tests/bind_consistency_test.rs with 5+ cases (positive/skip/dynamic/repeat). Use fixtures.
Spec 2026-03-31 advisories,SPEC-098,Integrate buildDefinitionAdvisoryIssues into formspec_audit MCP tool short-term,packages/formspec-mcp/src/tools/audit.ts,high,NOT_DONE,"As a spec author, I want the formspec_audit MCP tool implemented (Integrate buildDefinitionAdvisoryIssues into formspec_audit MCP tool short-term), so that I can manage this resource through the MCP interface.",P0,"Merge with M8. Import buildDefinitionAdvisoryIssues from studio-core, add 'advisories' action to formspec_audit."
ADR 0029,0029-020,Back-sync extensions x- data at definition item bind and shape levels from engine fixture,examples/grant-application/definition.json,high,PARTIAL,"As a form author, I want extensions x- data at definition item bind and shape levels from engine fixture, so that the grant-app example stays consistent with the engine fixture.",P1,"3-way divergence problem: example, benchmark reference, and engine fixture have different extensions coverage. Fix example + benchmark. Add missing x-budget-version and x-help-link."
ADR 0029,0029-034,Exercise Stack align (gap from prior validation),examples/grant-application/component.json,high,NOT_DONE,"As a form author, I want to exercise stack align (gap from prior validation), so that the example covers this configuration variant.",P1,Bundle with 0029-035 (Stack). Add align to 1 horizontal + 1 vertical Stack in component.json.
ADR 0029,0029-035,Exercise Stack wrap (gap from prior validation),examples/grant-application/component.json,high,NOT_DONE,"As a form author, I want to exercise stack wrap (gap from prior validation), so that the example covers this configuration variant.",P1,Bundle with 0029-034. Add wrap:true to horizontal Stack (line 128). May need more children or container width constraint.
ADR 0029,0029-043,Exercise TextInput inputMode (gap from prior validation),examples/grant-application/component.json,high,NOT_DONE,"As a form author, I want to exercise textinput inputmode (gap from prior validation), so that the example covers this configuration variant.",P1,Add inputMode:'url' to projectWebsite TextInput (component.json:71). Schema only supports 5 values (text/email/tel/url/search) not the ticket's claimed 8.
ADR 0029,0029-045,Exercise TextInput suffix (gap from prior validation),examples/grant-application/component.json,high,NOT_DONE,"As a form author, I want to exercise textinput suffix (gap from prior validation), so that the example covers this configuration variant.",P1,Add suffix:'.gov' to projectWebsite (component.json:71) alongside existing prefix. Or close as wontfix — definition-level suffix coverage may be sufficient.
ADR 0029,0029-060,Exercise Panel position left (gap from prior validation),examples/grant-application/component.json,high,NOT_DONE,"As a form author, I want to exercise panel position left (gap from prior validation), so that the example covers this configuration variant.",P1,Change Panel position from 'right' to 'left' at component.json:101. Schema default is 'left'; making 'right' the variant. Schema example already covers 'left'.
ADR 0029,0029-061,Exercise Modal trigger auto (gap from prior validation),examples/grant-application/component.json,high,NOT_DONE,"As a form author, I want to exercise modal trigger auto (gap from prior validation), so that the example covers this configuration variant.",P1,Change Modal trigger from 'button' to 'auto' on Subcontractor Certification (component.json:405). Add 'when' condition referencing $budget.usesSubcontractors.
ADR 0029,0029-067,Exercise all 6 constraintKind values in validationResults (cardinality and shape currently missing),examples/grant-application/fixtures/,high,PARTIAL,"As a form author, I want to exercise all 6 constraintkind values in validationresults (cardinality and shape currently missing), so that the example covers this configuration variant.",P1,Add cardinality and shape constraintKind results. Best on submission-in-progress.json (missing lineItems data makes minRepeat violation natural).
ADR 0031,0031-006,Add RegistryEntry for dataType category,examples/grant-application/registry.json,medium,NOT_DONE,"As a form author, I want to add RegistryEntry for dataType category, so that the examples is complete.",P1,Blocked on 0031-005 (registry.json creation). Add dataType entry once file exists. Include baseType per schema.
ADR 0031,0031-007,Add RegistryEntry for function category,examples/grant-application/registry.json,medium,NOT_DONE,"As a form author, I want to add RegistryEntry for function category, so that the examples is complete.",P1,Blocked on 0031-005. Add function entry with parameters+returns per schema. Model on kitchen-sink x-example-risk-score.
ADR 0031,0031-008,Add RegistryEntry for constraint category,examples/grant-application/registry.json,medium,NOT_DONE,"As a form author, I want to add RegistryEntry for constraint category, so that the examples is complete.",P1,Blocked on 0031-005. Add constraint entry with parameters per schema. Could be x-ein-format matching the grant-app EIN validation.
ADR 0031,0031-009,Add RegistryEntry for property category,examples/grant-application/registry.json,medium,NOT_DONE,"As a form author, I want to add RegistryEntry for property category, so that the examples is complete.",P1,Blocked on 0031-005. Add property entry. Simplest category — no additional required fields.
ADR 0031,0031-010,Add RegistryEntry for namespace category,examples/grant-application/registry.json,medium,NOT_DONE,"As a form author, I want to add RegistryEntry for namespace category, so that the examples is complete.",P1,Blocked on 0031-005. Add namespace entry with members referencing sibling entries (0031-006/007/008/009).
ADR 0031,0031-011,Exercise all 4 status values across entries including retired,examples/grant-application/registry.json,high,NOT_DONE,"As a form author, I want to exercise all 4 status values across entries including retired, so that the example covers this configuration variant.",P1,Blocked on 0031-005. All 4 statuses across entries. retired has ZERO coverage anywhere in repo (kitchen-sink fixture lacks it too). Consider backfilling kitchen-sink also.
ADR 0053,0053-004,Implement pluggable transport abstraction InProcess PostMessage CustomEvent MCPWebSocket,packages/formspec-assist/src/transport/,high,NOT_DONE,"As a spec author, I want to implement pluggable transport abstraction InProcess PostMessage CustomEvent MCPWebSocket, so that the runtime supports this behavior.",P1,Create transport/ directory with interface. InProcess extraction from provider.ts. PostMessage transport. Required by 0053-026.
ADR 0053,0053-013,Wire requestUserInteraction for autofill consent on profile.apply,packages/formspec-assist/src/tools/profile.ts,high,PARTIAL,"As a spec author, I want to wire requestUserInteraction for autofill consent on profile.apply, so that the feature works end-to-end.",P1,"Add requestUserInteraction to ModelContextLike shim interface, wire into applyProfileMatches confirm flow. Annotate confirm param in tool schema."
ADR 0053,0053-020,Create packages/formspec-assist-chat/ at Layer 5 package scaffold,packages/formspec-assist-chat/,high,NOT_DONE,"As a spec author, I want to create packages/formspec-assist-chat/ at layer 5 package scaffold, so that the example set is complete.",P1,Create formspec-assist-chat/ package scaffold. Include src/types.ts with ChatSession/LLMAdapter/LLMContext interfaces + stub. Ship with minimum viable exports or dependent P4 tickets are blocked.
ADR 0053,0053-026,Implement HTTP transport binding for remote agent access,packages/formspec-assist/src/transport/http.ts,high,NOT_DONE,"As a spec author, I want to implement HTTP transport binding for remote agent access, so that the runtime supports this behavior.",P1,BLOCKED on 0053-004. HTTP transport binding: createHttpServerHandler + createHttpClient. assist-spec.md §7.5 defines 2 endpoints.
Plan uswds,PLAN-010,Remove setAttribute aria-describedby from all 26 individual default component adapters,packages/formspec-webcomponent/src/adapters/default/*.ts,high,PARTIAL,"As a spec author, I want to remove setAttribute aria-describedby from all 26 individual default component adapters, so that the codebase is clean and the responsibility is owned at the correct layer.",P1,"Remove manual setAttribute aria-describedby from radio-group.ts, checkbox-group.ts, text-input.ts. Groups lose skipAriaDescribedBy:true and move describedby to first input (correct per ARIA)."
Spec 2026-03-26 assist-chat,SPEC-042,Create packages/formspec-assist-chat/ Layer 5 package scaffold,packages/formspec-assist-chat/,high,NOT_DONE,"As a spec author, I want to create packages/formspec-assist-chat/ layer 5 package scaffold, so that the example set is complete.",P1,"DUPLICATE of 0053-020. Same description, same target, same priority. Keep 0053-020, mark SPEC-042 as duplicate."
ADR 0029,0029-075,Write Playwright E2E test for every new property/value,`tests/e2e/playwright/`,medium,PARTIAL,"As a QA engineer, I want to write Playwright E2E test for every new property/value, so that this behavior is covered by automated tests.",P2,"Write tests/unit/test_component_properties.py or tests/e2e/browser/grant-app/component-properties.spec.ts covering Stack align/wrap, TextInput inputMode/suffix, Panel left, Modal auto."
ADR 0030,0030-046,Write E2E test for ref fragment resolution,`tests/e2e/playwright/`,medium,NOT_DONE,"As a QA engineer, I want to write E2E test for ref fragment resolution, so that this behavior is covered by automated tests.",P2,Add test('should resolve $ref fragment with keyPrefix') to field-interaction.spec.ts or new component-properties.spec.ts. Check for altContact.email DOM presence.
ADR 0030,0030-047,Write E2E test for theme page/region layout rendering,`tests/e2e/playwright/`,medium,NOT_DONE,"As a QA engineer, I want to write E2E test for theme page/region layout rendering, so that this behavior is covered by automated tests.",P2,BLOCKED on 0030-032 (pages on theme.json). Park until M2 ships.
ADR 0031,0031-001,Add screener to definition.json with 2-3 screening items,examples/grant-application/definition.json,medium,PARTIAL,"As a form author, I want to add screener to definition.json with 2-3 screening items, so that the examples is complete.",P2,WONTFIX — spec screener-spec.md §1.3 explicitly replaced embedded screener with standalone Screener Document design.
ADR 0031,0031-002,Add routes with at least 3 Route objects,examples/grant-application/definition.json,medium,PARTIAL,"As a form author, I want to add routes with at least 3 Route objects, so that the examples is complete.",P2,WONTFIX — same as 0031-001. Routes belong in standalone screener.json per spec. 4 routes already exceed requirement.
ADR 0031,0031-018,Implement registry.py load and query module,src/formspec/registry.py,medium,PARTIAL,"As a spec author, I want to implement registry.py load and query module, so that the runtime supports this behavior.",P2,Create src/formspec/registry.py facade wrapping _rust.py parse_registry + find_registry_entry. README import path currently fails.
ADR 0031,0031-037,Write E2E test for writable instance FEL expression writes and reads,`tests/e2e/playwright/`,medium,NOT_DONE,"As a QA engineer, I want to write E2E test for writable instance FEL expression writes and reads, so that this behavior is covered by automated tests.",P2,Add writable-instance.spec.ts to tests/e2e/browser/grant-app/. Test FEL reads/writes through scratchPad instance. Also test readonly write rejection.
ADR 0040,0040-017,Consolidate from 49 actual tools down to 28 target,packages/formspec-mcp/src/tools/,later,NOT_DONE,"As a spec author, I want to consolidate from 49 actual tools down to 28 target, so that the tool surface is simpler and more maintainable.",P2,"Merge plan: changeset 5->1, lifecycle 3->1, theme->style, behavior_expanded->behavior, mapping_expanded->mapping, component->structure. 28 may be too aggressive; tolerate 30-32."
Plan u1-u4-mcp,PLAN-003,Fix PAGED_ROOT_NON_GROUP diagnostic build theme-placed keys set for differentiated message,packages/formspec-core/src/queries/diagnostics.ts:253-266,medium,NOT_DONE,"As a spec author, I want to fix PAGED_ROOT_NON_GROUP diagnostic build theme-placed keys set for differentiated message, so that the codebase is correct.",P2,Add themePlacedKeys set to diagnostics.ts:276-298 parallel to pagePlacedKeys. Scan state.theme?.items for items with page property. Union with pagePlacedKeys.
Plan u1-u4-mcp,PLAN-004,Add test handlePage action add_group creates definition group and sets wizard mode,packages/formspec-mcp/tests/structure.test.ts,medium,NOT_DONE,"As a QA engineer, I want to add test handlePage action add_group creates definition group and sets wizard mode, so that the packages is complete.",P2,BLOCKED on PLAN-001 (P0 add_group feature). Test: handlePage action=add_group creates group + sets pageMode wizard.
Plan u1-u4-mcp,PLAN-005,Add test handlePage action add_group returns createdId,packages/formspec-mcp/tests/structure.test.ts,medium,NOT_DONE,"As a QA engineer, I want to add test handlePage action add_group returns createdId, so that the packages is complete.",P2,BLOCKED on PLAN-001. Test: handlePage action=add_group returns non-empty createdId matching new group key.
Plan u1-u4-mcp,PLAN-006,Add test PAGED_ROOT_NON_GROUP message mentions theme-placed when item exists on theme page,packages/formspec-core/tests/diagnostics.test.ts,medium,NOT_DONE,"As a QA engineer, I want to add test PAGED_ROOT_NON_GROUP message mentions theme-placed when item exists on theme page, so that the packages is complete.",P2,BLOCKED on PLAN-003. Test: theme-placed item triggers PAGED_ROOT_NON_GROUP with 'theme-placed' wording.
Plan layout-workspace,PLAN-012,Add DataTable as widget option for repeatable group items in widget catalog,studio-core ITEM_TYPE_WIDGETS,medium,NOT_DONE,"As a Studio user, I want to add DataTable as widget option for repeatable group items in widget catalog, so that the codebase is complete.",P2,One-line edit: authoring-helpers.ts:74 add 'DataTable' to group array.
Plan layout-workspace,PLAN-014,Expose setGroupDisplayMode in widget selector UI for repeatable groups,formspec-studio layout workspace,medium,NOT_DONE,"As a spec author, I want to expose setGroupDisplayMode in widget selector UI for repeatable groups, so that the codebase is complete.",P2,Add stack/table toggle to GroupConfigSection.tsx calling project.setGroupDisplayMode. Merge with PLAN-015.
Plan layout-workspace,PLAN-015,Add DataTableSection to component-specific property dispatcher for repeatable groups,ComponentProperties.tsx,medium,NOT_DONE,"As a developer, I want to add DataTableSection to component-specific property dispatcher for repeatable groups, so that the codebase is complete.",P2,Create DataTableSection.tsx with column list editor. Wire into EditorPropertiesPanel.tsx when displayMode==='table'. Merge with PLAN-014.
Plan layout-workspace,PLAN-016,Spec addition add SubmitButton to component spec via formspec-specs expert,component spec specs/ tree then schema update,medium,UNKNOWN,"As a spec author, I want to spec addition add SubmitButton to component spec via formspec-specs expert, so that the component spec specs is complete.",P2,"DONE — SubmitButton fully specified across spec, schema, types, runtime. component.schema.json:897-935. Close as already implemented."
Plan layout-workspace,PLAN-017,Add SubmitButton toolbar button or palette entry invoking project.addSubmitButton,formspec-studio layout workspace toolbar/palette,medium,NOT_DONE,"As a spec author, I want to add SubmitButton toolbar button or palette entry invoking project.addSubmitButton, so that the formspec-studio layout workspace toolbar is complete.",P2,Add SubmitButton to FIELD_TYPE_CATALOG with itemType:'layout'. Wire handleAddItem to project.addSubmitButton().
Spec 2026-03-31 advisories,SPEC-091,Add spec cross-reference from §4.3.1 Bind Properties to §3.10.3,s`pecs/core/spec.md`,medium,NOT_DONE,"As a spec author, I want to add spec cross-reference from §4.3.1 Bind Properties to §3.10.3, so that the specification is complete and normative.",P2,BLOCKED on SPEC-089 (P0 §3.10.3 creation). Add one-sentence cross-ref at spec.md:~2662 once target section exists.
Spec 2026-03-31 advisories,SPEC-094,Add W900-W902 to LintMode Authoring suppressed set,crates/formspec-lint/src/types.rs,medium,NOT_DONE,"As a spec author, I want w900-W902 to LintMode Authoring suppressed set, so that form definitions are validated for this concern.",P2,Add W9xx range to suppressed_in() in types.rs:180. Use self.code.starts_with('W9') pattern. Add unit test.
Spec 2026-03-31 advisories,SPEC-095,Ensure W900-W902 NOT promoted to errors in strict mode per spec,crates/formspec-lint/src/lib.rs,medium,NOT_DONE,"As a spec author, I want to ensure W900-W902 NOT promoted to errors in strict mode per spec, so that the renderer handles this configuration correctly.",P2,Add comment at lib.rs:160 explaning W9xx must NOT be promoted to error per spec §3.10.3. Add unit test asserting no W9xx code is promoted in strict mode.
ADR 0029,0029-005,Add per-field currency on at least one field,examples/grant-application/definition.json,low,NOT_DONE,"As a form author, I want to add per-field currency on at least one field, so that the examples is complete.",P3,Add currency:'USD' to requestedAmount (definition.json:511). Consider adding 2nd money field (euPortion with EUR) for actual mixed-currency demo.
ADR 0029,0029-031,Instantiate SummaryRow custom component,examples/grant-application/component.json,low,NOT_DONE,"As a form author, I want to instantiate SummaryRow custom component, so that the examples is complete.",P3,"Replace built-in Summary at component.json:225-229 with explicit SummaryRow instantiations passing {label, field} params."
ADR 0029,0029-072,Include multiChoice array values in data,examples/grant-application/fixtures/,low,UNKNOWN,"As a form author, I want to include multiChoice array values in data, so that the examples is complete.",P3,"DONE — multiChoice array values already present in sample-submission.json:42-45 (focusAreas: ['health','equity']). OptionSet-backed multiChoice still outstanding."
ADR 0029,0029-074,Include nonRelevantBehavior empty representation in data,examples/grant-application/fixtures/,low,NOT_DONE,"As a form author, I want to include nonRelevantBehavior empty representation in data, so that the examples is complete.",P3,Create submission-university.json with orgType:'university' (nonprofitPhoneHint NRB=empty). Verify evaluator coerces to empty.
ADR 0030,0030-043,Add definitionUrl and definitionVersion to validationReport metadata from engine,packages/formspec-engine/src/,low,PARTIAL,"As a spec author, I want to add definitionUrl and definitionVersion to validationReport metadata from engine, so that the packages is complete.",P3,3-line fix: wire definition.url and definition.version through buildValidationReportEnvelope in response-assembly.ts.
ADR 0031,0031-012,Add deprecationNotice on deprecated entry,examples/grant-application/registry.json,low,NOT_DONE,"As a form author, I want to add deprecationNotice on deprecated entry, so that the examples is complete.",P3,Mark 1 entry status:'deprecated' + add deprecationNotice. Blocked on 0031-005 (registry.json).
ADR 0031,0031-013,Add specUrl schemaUrl license on at least one entry,examples/grant-application/registry.json,low,NOT_DONE,"As a form author, I want to add specUrl schemaUrl license on at least one entry, so that the examples is complete.",P3,Add specUrl + schemaUrl + license to 1 entry. Metadata for tool discoverability.
ADR 0031,0031-014,Add examples array on at least 2 entries,examples/grant-application/registry.json,low,NOT_DONE,"As a form author, I want to add examples array on at least 2 entries, so that the examples is complete.",P3,formspec-common.registry.json already has examples on every entry. Add to 2 entries in new grant-app registry.json if created.
ADR 0031,0031-015,Add compatibility formspecVersion and mappingDslVersion,examples/grant-application/registry.json,low,NOT_DONE,"As a form author, I want to add compatibility formspecVersion and mappingDslVersion, so that the examples is complete.",P3,Add mappingDslVersion alongside formspecVersion on 1 entry.
ADR 0031,0031-016,Add extensions at registry and entry levels,examples/grant-application/registry.json,low,NOT_DONE,"As a form author, I want to add extensions at registry and entry levels, so that the examples is complete.",P3,Add extensions at registry doc level + 1 entry level.
ADR 0048,0048-014,Add lint rule L101 missing translation for string path,cr`ates/formspec-lint/` and `src/formspec/validator/`,high,NOT_DONE,"As a spec author, I want lint rule L101 missing translation for string path, so that form definitions are validated for this concern.",P3,BIGGER THAN DESCRIBED. Requires new DocumentType::Locale + $formspecLocale marker + cross-doc LintOptions expansion. Not just 'add a pass.' Full locale lint foundation.
ADR 0048,0048-015,Add lint rule L201 stale translation key references removed item path,cr`ates/formspec-lint/` and `src/formspec/validator/`,high,NOT_DONE,"As a spec author, I want lint rule L201 stale translation key references removed item path, so that form definitions are validated for this concern.",P3,Shares pass_locale.rs infrastructure with L101. Cross-doc key resolution matches pattern from pass 6 (theme item key check).
ADR 0048,0048-016,Add lint rule L301 missing FEL interpolation variable,cr`ates/formspec-lint/` and `src/formspec/validator/`,high,NOT_DONE,"As a spec author, I want lint rule L301 missing FEL interpolation variable, so that form definitions are validated for this concern.",P3,"Needs FEL {{expression}} extraction from locale strings. If spec supports full FEL expressions (not just variable refs), this is a full FEL parse pass, not regex."
ADR 0048,0048-017,Add lint rule L401 invalid fallback chain parent locale not found,cr`ates/formspec-lint/` and `src/formspec/validator/`,high,NOT_DONE,"As a spec author, I want lint rule L401 invalid fallback chain parent locale not found, so that form definitions are validated for this concern.",P3,Requires LintOptions.locale_documents: Vec<Value> for cross-locale fallback resolution. Also needs L400 circular chain detection.
Spec 2026-03-31 advisories,SPEC-099,Remove TS advisory code after Rust Pass 8 ships via WASM long-term,packages/formspec-studio-core/src/editor-tree-helpers.ts,low,NOT_DONE,"As a spec author, I want to remove TS advisory code after Rust Pass 8 ships via WASM long-term, so that the codebase is clean and the responsibility is owned at the correct layer.",P3,NOOP — condition not met. Rust Pass 8 has not shipped via WASM. TS advisory code stays until SPEC-092 lands.
Spec 2026-03-31 advisories,SPEC-100,Extend value-source check to inspect mapping documents suppress W900 for mapped fields future,later,low,NOT_DONE,"As a developer, I want to extend value-source check to inspect mapping documents suppress W900 for mapped fields future, so that the codebase is complete.",P3,FUTURE — mapping-aware value-source detection not implemented. No action now.
ADR 0040,0040-014,Add batch error formatting to errors module,packages/formspec-mcp/src/errors.ts,later,PARTIAL,"As a spec author, I want to add batch error formatting to errors module, so that the packages is complete.",P4,wrapBatchCall referenced in design docs only. Create dedicated batch error formatter. P4 correct.
ADR 0048,0048-005,Add resolveString path property context to FormEngine,packages/formspec-engine/src/form-engine.ts,later,PARTIAL,"As a spec author, I want to add resolveString path property context to FormEngine, so that the packages is complete.",P4,Exists as resolveLocaleString (FormEngine.ts:690). Add alias or rename. ~30min.
ADR 0048,0048-007,Implement fallback chain resolution fr-CA to fr to definition inline,packages/formspec-engine/src/i18n/,later,PARTIAL,"As a spec author, I want to implement fallback chain resolution fr-CA to fr to definition inline, so that the runtime supports this behavior.",P4,Exists in locale.ts _cascadeLookup. In correct file just not named src/i18n/. Path mismatch only.
ADR 0048,0048-008,Implement FEL interpolation in locale strings via expression syntax,packages/formspec-engine/src/i18n/,later,PARTIAL,"As a spec author, I want to implement FEL interpolation in locale strings via expression syntax, so that the runtime supports this behavior.",P4,Exists in locale.ts resolveLocaleString. Same path mismatch as 0048-007.
ADR 0048,0048-009,Implement contextual variant key suffix @context,packages/formspec-engine/src/i18n/,later,PARTIAL,"As a spec author, I want to implement contextual variant key suffix @context, so that the runtime supports this behavior.",P4,Exists in field-view-model.ts:119 (6-step cascade with @context). Path mismatch only.
ADR 0048,0048-011,Add plural() stdlib FEL function for common pluralization,fel-core/src/stdlib/ or crates/formspec-eval/,later,PARTIAL,"As a spec author, I want to add plural() stdlib FEL function for common pluralization, so that the fel-core is complete.",P4,Exists as pluralCategory() FEL function (different signature). Spec drift — update spec or align naming.
